trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
220,False,"{'a': 0.9, 'e': 0.10958290556334815}",20,13,10.04866089035783,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.9, 'e': 0.10848707650771466}",20,4,20.527431944039222,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.9, 'e': 0.10740220574263752}",25,14,20.917092492737197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9, 'e': 0.10632818368521114}",20,14,-32.58560662664129,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
224,False,"{'a': 0.9, 'e': 0.10526490184835903}",35,9,10.107673836453111,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.9, 'e': 0.10421225282987544}",20,0,23.78640893589973,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
226,False,"{'a': 0.9, 'e': 0.10317013030157668}",20,3,32.275831183564776,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.9, 'e': 0.10213842899856092}",20,12,8.479944099806684,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.9, 'e': 0.10111704470857531}",30,7,40.641944205316804,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9, 'e': 0.10010587426148955}",25,0,34.41366415463696,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.9, 'e': 0.09910481551887466}",30,18,17.39055437149718,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.9, 'e': 0.0981137673636859}",20,16,9.000625336915041,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.9, 'e': 0.09713262969004906}",30,16,-24.35140744658562,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
233,False,"{'a': 0.9, 'e': 0.09616130339314856}",25,9,21.63031489876456,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.9, 'e': 0.09519969035921708}",20,4,19.48897956302821,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.9, 'e': 0.0942476934556249}",30,15,28.39043983370255,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.9, 'e': 0.09330521652106866}",30,19,20.125596806548245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9, 'e': 0.09237216435585796}",25,0,-11.390512934390143,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
238,False,"{'a': 0.9, 'e': 0.09144844271229938}",20,15,5.624494855095211,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.9, 'e': 0.0905339582851764}",30,6,-14.931449098384116,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
240,False,"{'a': 0.9, 'e': 0.08962861870232462}",20,3,2.5723933868636397,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
241,False,"{'a': 0.9, 'e': 0.08873233251530138}",20,12,14.012182829485372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.9, 'e': 0.08784500919014836}",25,12,24.141006492881864,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9, 'e': 0.08696655909824688}",25,0,23.02481539131522,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
244,False,"{'a': 0.9, 'e': 0.0860968935072644}",35,17,36.118685592844784,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.9, 'e': 0.08523592457219176}",20,8,20.435100072514107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.9, 'e': 0.08438356532646984}",25,17,17.761912840235457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.9, 'e': 0.08353972967320515}",30,19,20.34354788290675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.0827043323764731}",25,12,12.304667896862775,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.9, 'e': 0.08187728905270836}",25,1,30.3497506769958,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.9, 'e': 0.08105851616218128}",25,14,7.452306485945426,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.9, 'e': 0.08024793100055946}",20,10,18.852252747343023,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.9, 'e': 0.07944545169055386}",20,0,6.951962239390799,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
253,False,"{'a': 0.9, 'e': 0.07865099717364833}",25,15,10.56545435743052,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.9, 'e': 0.07786448720191184}",25,14,21.141983353604513,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.9, 'e': 0.07708584232989273}",25,13,22.776239451469383,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.9, 'e': 0.0763149839065938}",25,11,18.33259680750195,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.9, 'e': 0.07555183406752786}",25,0,22.952154797724226,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
258,False,"{'a': 0.9, 'e': 0.07479631572685258}",25,2,38.58445976831581,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.9, 'e': 0.07404835256958406}",20,12,4.275442585807705,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.9, 'e': 0.07330786904388821}",20,2,30.274371214885683,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.9, 'e': 0.07257479035344933}",20,7,22.001703036200848,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.9, 'e': 0.07184904244991484}",25,11,0.62180638938432,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
